dataset,method,method_display,edge_removal_rate_or_AUC,n,mean,std,ci_low,ci_high,seed_ids
facebook,cailp_a31,Task-only,0.2,10,0.9142127206488102,0.019354029945640866,0.9003676816684909,0.9280577596291295,0 1 2 3 4 5 6 7 8 9
facebook,cailp_a31,Task-only,0.3,10,0.9094835069379001,0.021733141833165315,0.8939365538387213,0.925030460037079,0 1 2 3 4 5 6 7 8 9
facebook,cailp_a31,Task-only,0.4,10,0.9066763070165255,0.02205780800093925,0.8908971017320887,0.9224555123009622,0 1 2 3 4 5 6 7 8 9
facebook,cailp_a31,Task-only,0.5,10,0.9051891650139317,0.02201498980011251,0.8894405900251583,0.920937740002705,0 1 2 3 4 5 6 7 8 9
facebook,cailp_a31,Task-only,0.6,10,0.903411854533957,0.02020558014784772,0.8889576532356932,0.9178660558322208,0 1 2 3 4 5 6 7 8 9
facebook,cailp_a31,Task-only,0.7,10,0.9018100426470239,0.017971562057536233,0.8889539616177673,0.9146661236762805,0 1 2 3 4 5 6 7 8 9
facebook,cailp_a31,Task-only,0.8,10,0.8995970188081011,0.015136167710062015,0.8887692567065105,0.9104247809096916,0 1 2 3 4 5 6 7 8 9
facebook,cailp_a31,Task-only,0.9,10,0.8977990306240484,0.012093211119175664,0.8891480685343711,0.9064499927137257,0 1 2 3 4 5 6 7 8 9
facebook,cailp_a31,Task-only,AUC,10,0.7248928121769773,0.01491480967032232,0.7142234000778106,0.735562224276144,0 1 2 3 4 5 6 7 8 9
facebook,original_ilp_gcn,ILP-GCN,0.1,10,0.939087982769999,0.003720138839508579,0.9364267557599212,0.9417492097800769,0 1 2 3 4 5 6 7 8 9
facebook,original_ilp_gcn,ILP-GCN,0.2,10,0.939129812130137,0.003898417175617714,0.9363410524811353,0.9419185717791387,0 1 2 3 4 5 6 7 8 9
facebook,original_ilp_gcn,ILP-GCN,0.3,10,0.9380278089451004,0.003948929305203579,0.9352029150953632,0.9408527027948376,0 1 2 3 4 5 6 7 8 9
facebook,original_ilp_gcn,ILP-GCN,0.4,10,0.9358784645077582,0.0039687490328847155,0.9330393924789496,0.9387175365365669,0 1 2 3 4 5 6 7 8 9
facebook,original_ilp_gcn,ILP-GCN,0.5,10,0.9330285363777484,0.002309489810507058,0.9313764268924924,0.9346806458630044,0 1 2 3 4 5 6 7 8 9
facebook,original_ilp_gcn,ILP-GCN,0.6,10,0.927372574730582,0.004538042751260857,0.9241262545087973,0.9306188949523667,0 1 2 3 4 5 6 7 8 9
facebook,original_ilp_gcn,ILP-GCN,0.7,10,0.9199577074818214,0.005630712499496714,0.9159297384096715,0.9239856765539712,0 1 2 3 4 5 6 7 8 9
