dataset,method,seed,edge_removal_rate,test_macro_f1,giant_component_ratio,bridge_preservation,minority_degree_retention,train_seconds
facebook,cailp_a31,5,0.6,0.8988344196769473,0.37627948375611925,0.26538849646821394,0.5102278361851519,2441.2323028749997
facebook,cailp_a31,5,0.7,0.8987171170474068,0.3009790832220739,0.2462159434914228,0.4241649300601094,2441.2323028749997
facebook,cailp_a31,5,0.8,0.8988434570832787,0.21513128615932353,0.22939791456441305,0.33043112071856096,2441.2323028749997
facebook,cailp_a31,5,0.9,0.8984416968181896,0.12438807298620383,0.21796165489404642,0.14995467783070238,2441.2323028749997
facebook,cailp_a31,6,0.1,0.8945385735875261,0.7439252336448599,0.2065253952236798,0.6858168937286016,2032.8650274170004
facebook,cailp_a31,6,0.2,0.8917629725903073,0.6082331998219849,0.13353514968045746,0.5070558861391558,2032.8650274170004
facebook,cailp_a31,6,0.3,0.8884385485918216,0.5234534935469515,0.11234443323242516,0.359463983494681,2032.8650274170004
facebook,cailp_a31,6,0.4,0.8886869075250543,0.4287939474855363,0.0961991254624958,0.2727861121783627,2032.8650274170004
facebook,cailp_a31,6,0.5,0.8849570975490685,0.34686248331108144,0.08678102926337034,0.23009449073419078,2032.8650274170004
facebook,cailp_a31,6,0.6,0.8825533128626335,0.2692923898531375,0.08139926000672722,0.2040069808021214,2032.8650274170004
facebook,cailp_a31,6,0.7,0.8871349170521945,0.18108589230084557,0.07467204843592332,0.16481096651093932,2032.8650274170004
facebook,cailp_a31,6,0.8,0.8890361522205092,0.1207832665776591,0.06525395223679785,0.07434619279426274,2032.8650274170004
facebook,cailp_a31,6,0.9,0.8892060239616557,0.06515353805073432,0.048772283888328286,0.006699896192858557,2032.8650274170004
facebook,cailp_a31,7,0.1,0.926045935941282,0.8854027592345349,0.5230406996300033,0.8502071303905853,1351.6681134169994
facebook,cailp_a31,7,0.2,0.9252120501909412,0.8759234534935469,0.5092499159098554,0.8080333500480722,1351.6681134169994
facebook,cailp_a31,7,0.3,0.9253383176520741,0.8716510903426792,0.49915909855364954,0.682612594659894,1351.6681134169994
facebook,cailp_a31,7,0.4,0.9241072028322832,0.8639964396973743,0.4863773965691221,0.632735587751991,1351.6681134169994
facebook,cailp_a31,7,0.5,0.9214157024067593,0.8481085892300846,0.46485031954254963,0.5489059708639339,1351.6681134169994
facebook,cailp_a31,7,0.6,0.9171562792880145,0.811125945705385,0.4339051463168517,0.442290267202132,1351.6681134169994
facebook,cailp_a31,7,0.7,0.9080930101395762,0.739652870493992,0.37975109317188027,0.3149598411732206,1351.6681134169994
facebook,cailp_a31,7,0.8,0.9026082351727115,0.6012016021361816,0.3286242852337706,0.16610563344965523,1351.6681134169994
facebook,cailp_a31,7,0.9,0.8933849320580489,0.3369826435246996,0.22939791456441305,0.05444070305303379,1351.6681134169994
facebook,cailp_a31,8,0.1,0.9441525240379979,0.9888295505117936,0.9297006390850993,0.9959217627646936,1214.3941317499994
facebook,cailp_a31,8,0.2,0.9430631140414635,0.9874499332443257,0.9246552304069963,0.9737830158787637,1214.3941317499994
facebook,cailp_a31,8,0.3,0.9429892834099288,0.9864708500222519,0.9186007399932727,0.908111008133958,1214.3941317499994
